id,carat,cut,color,clarity,depth,table,x,y,z,price
0,,Premium,,IF,62.4,61.0,6.38,6.41,3.99,8501
1,,Ideal,F,VS2,61.2,56.0,7.38,7.44,4.54,14777
2,1.14,Very Good,H,SI2,61.7,62.0,6.62,6.69,4.11,4842
3,0.41,Premium,G,VS2,59.9,57.0,4.81,4.84,2.89,1061
4,1.06,Ideal,E,SI2,61.8,55.0,6.53,6.55,4.04,4511
5,,Ideal,F,VS2,61.8,55.0,4.36,4.38,2.7,660
6,1.37,Ideal,,VS2,61.9,55.0,7.14,7.1,4.41,8033
7,0.51,Ideal,,SI1,60.7,55.0,5.15,5.22,3.15,1415
8,,Ideal,F,VS2,62.2,57.0,7.59,7.62,4.73,16792
9,1.1,Very Good,,VS2,63.1,57.0,6.53,6.58,4.13,6593
10,1.36,Very Good,J,SI1,62.0,57.0,7.1,7.14,4.4,5543
11,0.65,Premium,E,SI2,61.9,60.0,5.53,5.49,3.42,1918
12,0.7,Ideal,D,SI1,62.3,56.0,5.68,5.65,3.53,2575
13,0.27,Ideal,,VS1,61.9,55.0,4.17,4.2,2.59,536
14,1.02,Premium,G,SI1,60.4,61.0,6.5,6.46,3.92,4318
15,,Good,F,SI1,63.9,55.0,7.5,7.54,4.82,12112
16,,Ideal,,VVS2,61.9,54.0,4.38,4.44,2.73,827
17,1.5,Very Good,G,SI2,62.0,56.0,7.25,7.33,4.52,9970
18,0.51,Premium,D,SI1,59.7,59.0,5.19,5.14,3.07,1881
19,0.31,Very Good,H,VS2,63.0,58.0,4.28,4.31,2.71,435
20,0.32,Ideal,G,SI1,60.9,55.0,4.42,4.45,2.7,477
21,1.62,Ideal,F,VS2,61.2,56.0,7.6,7.57,4.65,14256
22,,Premium,,VS2,62.0,59.0,4.27,4.3,2.65,506
23,0.56,Ideal,H,SI1,62.6,55.0,5.3,5.25,3.3,1250
24,0.35,Ideal,F,IF,61.3,56.0,4.57,4.52,2.79,1163
25,0.31,Ideal,D,VS2,61.8,55.0,4.38,4.37,2.7,942
26,1.02,Ideal,F,VVS2,61.2,55.0,6.53,6.49,3.99,9894
27,2.14,Premium,J,VS1,61.1,60.0,8.36,8.31,5.09,12723
28,0.33,Ideal,E,VVS1,61.8,55.0,4.46,4.48,2.76,977
29,,Premium,,VS1,61.9,59.0,4.3,4.26,2.65,624
30,0.31,Premium,G,VS1,62.5,59.0,4.28,4.31,2.68,625
31,1.01,Good,,SI2,64.1,59.0,6.27,6.34,4.04,4241
32,2.14,Premium,G,SI2,60.4,59.0,8.33,8.38,5.06,17186
33,0.54,Ideal,F,VS2,61.8,56.0,5.29,5.24,3.25,1586
34,1.71,Very Good,H,VS1,61.5,57.0,7.69,7.74,4.75,13904
35,2.03,Ideal,G,SI2,61.4,60.0,8.16,8.1,5.0,15843
36,0.35,Premium,D,SI2,59.8,60.0,4.61,4.57,2.74,663
37,0.52,Ideal,D,SI1,60.4,57.0,5.22,5.24,3.16,1720
38,0.53,Ideal,D,VS2,61.2,54.0,5.25,5.23,3.22,1752
39,,Ideal,H,SI1,61.6,56.0,6.73,6.66,4.12,5783
40,,Premium,D,VS1,60.7,59.0,5.7,5.74,3.46,3170
41,0.38,Ideal,E,VS2,60.9,57.0,4.7,4.73,2.86,1034
42,1.03,Fair,H,VS2,65.3,59.0,6.35,6.29,4.14,4521
43,0.71,Very Good,J,VS1,61.6,56.0,5.7,5.73,3.52,2036
44,1.52,Ideal,I,VS2,62.7,57.0,7.38,7.3,4.59,10012
45,0.33,Ideal,,VS2,61.6,55.0,4.41,4.43,2.73,579
46,1.06,Ideal,G,VS1,61.8,56.0,6.51,6.55,4.03,7291
47,0.31,Ideal,G,IF,61.2,56.0,4.4,4.42,2.69,895
48,0.33,Ideal,H,VVS1,62.1,55.0,4.46,4.43,2.77,714
49,,Ideal,D,SI1,62.7,55.0,4.36,4.38,2.74,756
50,1.01,Good,F,VS2,60.2,62.0,6.53,6.58,3.94,6332
51,0.91,Very Good,E,VS2,61.4,58.0,6.19,6.25,3.82,4679
52,0.3,Premium,G,VS1,62.0,58.0,4.29,4.33,2.67,605
53,1.12,Premium,H,VS2,61.9,60.0,6.61,6.67,4.1,5805
54,1.0,Very Good,F,SI2,59.5,65.0,6.53,6.56,3.9,3858
55,,Ideal,I,SI1,60.8,56.0,5.73,5.76,3.5,2201
56,0.8,Ideal,E,SI1,62.2,56.0,5.91,5.95,3.69,3384
57,,Ideal,,SI2,62.1,56.0,6.38,6.36,3.96,4640
58,1.01,Premium,E,VS2,61.6,58.0,6.44,6.49,3.98,5882
59,1.59,Ideal,G,VS2,62.3,56.0,7.43,7.45,4.64,16068
60,0.7,Premium,,SI1,61.9,60.0,5.73,5.7,3.54,2403
61,0.71,Good,D,SI1,59.3,56.0,5.82,5.85,3.47,3093
62,1.15,Ideal,,SI1,62.7,55.0,6.72,6.67,4.21,6746
63,0.3,Ideal,H,VS2,62.0,56.0,4.33,4.31,2.67,521
64,1.53,Ideal,I,VS2,61.6,56.0,7.39,7.46,4.56,9858
65,0.33,Ideal,F,VVS2,62.0,55.0,4.45,4.47,2.76,752
66,0.37,Ideal,F,VS2,61.4,56.0,4.65,4.62,2.85,803
67,0.59,Ideal,E,VS2,61.5,59.0,5.41,5.37,3.32,1919
68,,Ideal,E,VVS2,61.6,57.0,5.37,5.42,3.32,2215
69,,Ideal,F,VVS2,61.8,55.0,4.79,4.77,2.95,931
70,1.01,Premium,F,VS2,62.0,62.0,6.36,6.39,3.95,8426
71,,Ideal,F,VVS1,62.4,53.0,4.77,4.79,2.98,1295
72,1.13,Good,H,SI1,63.2,60.0,6.58,6.63,4.17,4913
73,0.32,Ideal,D,VVS2,61.1,56.0,4.42,4.41,2.7,1041
74,1.5,Premium,D,SI2,62.2,59.0,7.25,7.29,4.53,9738
